[20:15:01] [INFO] Loaded script startup_scripts:tfg/europa/blocks.europa_deco.js in 0.001 s
[20:15:01] [INFO] Loaded script startup_scripts:tfg/europa/materials.europa.js in 0.0 s
[20:15:01] [INFO] Loaded script startup_scripts:tfg/fluids.js in 0.001 s
[20:15:01] [INFO] Loaded script startup_scripts:tfg/food/fluids.food.js in 0.001 s
[20:15:01] [INFO] Loaded script startup_scripts:tfg/food/items.food.js in 0.005 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/food/materials.food.js in 0.002 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/icon_sets.js in 0.005 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/items.aircraft.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/items.asphalt_road.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/items.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/mars/blocks.mars_deco.js in 0.003 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/mars/blocks.trees.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/mars/materials.mars.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/materials.alumina.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/materials.bakelite.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/materials.boules.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/materials.coils.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/materials.etching.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/materials.garnet_sand.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/materials.gem_slurries.js in 0.003 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/materials.misc_alloys.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/materials.power_rework.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/materials.refrigerants.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/materials.rotors.js in 0.002 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/materials.solders.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/materials.tungsten.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/materials.zirconium.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/material_modification.colors.js in 0.003 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/material_modification.components.js in 0.002 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/material_modification.flags.js in 0.006 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/material_modification.fluids.js in 0.002 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/material_modification.ores.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/material_modification.properties.js in 0.003 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/material_modification.tfc.js in 0.002 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials/material_modification.tools.js in 0.011 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/materials.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/material_modification.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/modifications.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/moon/blocks.moon_deco.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/moon/materials.moon.js in 0.003 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/nuclear/blocks.nuclear.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/nuclear/items.nuclear.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/nuclear/machine.js in 0.002 s
[20:15:02] [INFO] tfg/nuclear/materials.nuclear.js#551: Loaded Java class 'fi.dea.mc.deafission.common.data.items.FuelCellItem'
[20:15:02] [INFO] tfg/nuclear/materials.nuclear.js#552: Loaded Java class 'fi.dea.mc.deafission.common.data.items.DepletedFuelCellItem'
[20:15:02] [INFO] Loaded script startup_scripts:tfg/nuclear/materials.nuclear.js in 0.033 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/nuclear/materials.smr_additives.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/primitive/blocks.cloth.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/primitive/blocks.glass.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/primitive/blocks.mud_bricks.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/primitive/blocks.supports.js in 0.002 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/primitive/blocks.vases.js in 0.001 s
